sno,chemical,industry,toxicity,alt,alt_reason
74,Magnesium Carbonate,Cosmetics and Pharmaceuticals,Low,Zinc Oxide,Non-toxic and effective
75,Manganese Dioxide,Batteries,Moderate,Lithium-Ion,More efficient and lower toxicity
76,Methyl Methacrylate,Plastics and Resins,High,Polylactic Acid (PLA),Biodegradable and renewable
77,Nitromethane,Fuel Additives and Solvents,High,Ethanol,Safer and renewable
78,Piperidine,Pharmaceuticals and Agrochemicals,Moderate,Imidazole,Safer and eco-friendly
79,Propylene Glycol,Cosmetics and Food Additives,Moderate,Glycerin,Non-toxic and renewable
80,Selenium,Glass and Electronics,Moderate,Tin Oxide,Less toxic and effective
81,Sodium Chlorite,Bleaching Agents,High,Hydrogen Peroxide,Non-toxic and safer
82,Strontium Nitrate,Pyrotechnics and Flares,Moderate,Potassium Nitrate,Safer and eco-friendly
83,Sulfur Hexafluoride,Electrical Insulation,Very High,Air-Based Insulation,Non-toxic and equally effective
84,Tetrabromobisphenol A,Fire Retardants,High,Aluminum Hydroxide,Non-toxic and effective
85,Tetrahydrofuran,Solvents for Plastics,High,Ethyl Acetate,Biodegradable and safer
86,Tetrachloroethylene,Dry Cleaning Solvent,High,CO2 Cleaning,Non-toxic and eco-friendly
87,Thiourea,Textile and Paper Processing,Moderate,Citric Acid,Safer and less toxic
88,Titanium Dioxide,Paints and Sunscreens,Low,Zinc Oxide,Equally effective and non-toxic
89,Tungsten Carbide,Tools and Machinery,Moderate,Ceramic-Based Tools,Non-toxic and durable
90,Urea,Plastics and Fertilizers,Moderate,Bio-Based Fertilizers,Safer for the environment
91,Vanadium Pentoxide,Steel Production,High,Iron-Based Alloys,Less toxic and effective
92,Zirconium Oxide,Ceramics and Refractories,Moderate,Alumina,Non-toxic and equally effective
93,Acetic Acid,Food Industry and Plastics,Low,Lactic Acid,Safer and renewable
94,Aluminum Chloride,Petrochemical Industry,Moderate,Magnesium Chloride,Less toxic and effective
95,Ammonium Nitrate,Explosives and Fertilizers,High,Calcium Ammonium Nitrate,Safer alternative
96,Barium Chloride,Chemical Manufacturing,High,Sodium Sulfate,Non-toxic and safer
97,Benzyl Alcohol,Perfumes and Resins,Moderate,Ethanol,Safer and renewable
98,Calcium Carbide,Metal Processing and Acetylene Production,High,Acetylene Gas,Non-toxic and equally effective
99,Cresol,Disinfectants and Resins,High,Thymol,Non-toxic and natural disinfectant
100,Cyclohexane,Solvent in Chemical Synthesis,High,Methylcyclohexane,Less toxic and safer
